Partidos/Coalizacoes Nacionais,Espectro Politico,IPP (Índice de Posição Política)
"JUNTOS POR EL CAMBIO",,1
"UNION POR LA PATRIA", ,-1
"LA LIBERTAD AVANZA",,2
"FRENTE DE IZQUIERDA Y DE TRABAJADORES",,-2
"HACEMOS POR NUESTRO PAIS",,0
"FRENTE DE TODOS",,-1
"CONSENSO FEDERAL",,0
"TERCERA VIA",,0
"CAMBIEMOS",,1
"JUSTICIALISMO",,-1
"PARTIDO JUSTICIALISTA", ,-1
"1PAIS",,-1
"PARTIDO SOCIALISTA",,-1
"FRENTE PARA LA VICTORIA",,-1
"UNIDOS POR UNA NUEVA ALTERNATIVA",,1
"PROGRESISTAS",,-1
"COMPROMISO FEDERAL",,1
"FRENTE DE RENOVACION",,-1
"PERONISMO FEDERAL",,1
"UNION PRO",,1
"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES",,-2
"FRENTE PROGRESISTA CIVICO Y SOCIAL",,-1
"FRENTE RENOVADOR",,-1
"PROPUESTA REPUBLICANA",,1
"PARTIDO FE",,1
"NUEVA IZQUIERDA",,-2
"UNIDAD CIUDADANA",,-1
"FRENTE JUSTICIALISTA",,-1
"COALICION CIVICA - (ARI)",Centro a Centro-Direita,0
"FRENTE NOS",,1
"FRENTE AMPLIO PROGRESISTA", ,-1
"UNION PARA EL DESARROLLO SOCIAL", ,1
"MOVIMIENTO PROYECTO SUR",,-1   
"ACUERDO CIVICO Y SOCIAL",,0
"CONCERTACION PARA UNA NACION AVANZADA",,0
"UNION CIVICA RADICAL",,0
"AFIRMACION PARA UNA REPUBLICA IGUALITARIA",,0
"MOVIMIENTO FEDERAL PARA RECREAR EL CRESCIEMENTO",,1
"MOVIMIENTO POR LA DIGNIDAD Y LA INDEPENDENCIA",,2