ano,cargo_nombre,agrupacion_nombre,votos_cantidad
2009,DIPUTADO PROVINCIAL,UNION PRO, 89572
2009,DIPUTADO PROVINCIAL,ACUERDO CIVICO Y SOCIAL, 85199
2009,DIPUTADO PROVINCIAL,FRENTE JUSTICIALISTA PARA LA VICTORIA, 69510
2009,DIPUTADO PROVINCIAL,FRENTE RENOVADOR PLATENSE, 43434
2009,DIPUTADO PROVINCIAL,NUEVO ENCONTRO, 15567
2009,DIPUTADO PROVINCIAL,FRENTE DE IZQUIERDA Y LOS TRABAJADORES, 6552
2009,DIPUTADO PROVINCIAL,UNION PRO, 119222
2009,DIPUTADO PROVINCIAL,ACUERDO CIVICO Y SOCIAL, 107697
2009,DIPUTADO PROVINCIAL,FRENTE JUSTICIALISTA PARA LA VICTORIA, 100874
2009,DIPUTADO PROVINCIAL,NUEVO ENCONTRO, 9921
2009,DIPUTADO PROVINCIAL,FRENTE ES POSIBLE, 3720
2009,DIPUTADO PROVINCIAL,FRENTE DE IZQUIERDA Y LOS TRABAJADORES, 3539
2009,DIPUTADO PROVINCIAL,FRENTE JUSTICIALISTA PARA LA VICTORIA, 1031051
2009,DIPUTADO PROVINCIAL,UNION PRO, 830634
2009,DIPUTADO PROVINCIAL,ACUERDO CIVICO Y SOCIAL, 439032
2009,DIPUTADO PROVINCIAL,NUEVO ENCONTRO, 119015
2009,DIPUTADO PROVINCIAL,FRENTE DE IZQUIERDA Y LOS TRABAJADORES, 48998
2009,DIPUTADO PROVINCIAL,ACUERDO CIVICO Y SOCIAL, 141931
2009,DIPUTADO PROVINCIAL,UNION PRO, 105402
2009,DIPUTADO PROVINCIAL,FRENTE JUSTICIALISTA PARA LA VICTORIA, 89778
2009,DIPUTADO PROVINCIAL,NUEVO ENCONTRO, 18448
2009,DIPUTADO PROVINCIAL,FRENTE DE IZQUIERDA Y LOS TRABAJADORES, 3472